x,y,year,period,representation
-0.040191606,0.15010765,2009,2007-2011,SBERT MiniLM
0.16594951,-0.3902775,2009,2007-2011,SBERT MiniLM
0.37349898,-0.13291083,2009,2007-2011,SBERT MiniLM
0.22541814,-0.17979774,2009,2007-2011,SBERT MiniLM
0.25092673,-0.0746617,2009,2007-2011,SBERT MiniLM
-0.1567411,-0.0054146647,2009,2007-2011,SBERT MiniLM
-0.31996185,-0.11275798,2009,2007-2011,SBERT MiniLM
-0.19052263,-0.026101038,2009,2007-2011,SBERT MiniLM
0.09617399,-0.35320663,2009,2007-2011,SBERT MiniLM
-0.270334,-0.48276547,2009,2007-2011,SBERT MiniLM
-0.3725443,-0.04232423,2009,2007-2011,SBERT MiniLM
-0.44416308,-0.07246481,2009,2007-2011,SBERT MiniLM
0.2668776,-0.2676244,2009,2007-2011,SBERT MiniLM
-0.3667289,-0.17813288,2009,2007-2011,SBERT MiniLM
-0.31428528,-0.13459702,2009,2007-2011,SBERT MiniLM
-0.065335825,-0.45542184,2009,2007-2011,SBERT MiniLM
-0.25712204,-0.013994716,2009,2007-2011,SBERT MiniLM
-0.30766904,0.062014505,2009,2007-2011,SBERT MiniLM
-0.3203177,-0.009992927,2009,2007-2011,SBERT MiniLM
-0.50881606,-0.060978603,2009,2007-2011,SBERT MiniLM
-0.3619179,-0.17023295,2009,2007-2011,SBERT MiniLM
-0.3540445,-0.07381863,2009,2007-2011,SBERT MiniLM
-0.21503574,0.20463389,2009,2007-2011,SBERT MiniLM
-0.2352286,-0.17834893,2009,2007-2011,SBERT MiniLM
-0.18919006,-0.17766254,2009,2007-2011,SBERT MiniLM
-0.29217413,-0.3900771,2009,2007-2011,SBERT MiniLM
0.12381427,-0.23559217,2009,2007-2011,SBERT MiniLM
0.14255534,-0.44429764,2009,2007-2011,SBERT MiniLM
-0.3181058,-0.23944142,2009,2007-2011,SBERT MiniLM
-0.36185765,-0.15967214,2009,2007-2011,SBERT MiniLM
-0.34966266,-0.19484124,2009,2007-2011,SBERT MiniLM
-0.36360785,-0.14872396,2009,2007-2011,SBERT MiniLM
-0.38079786,-0.12958403,2009,2007-2011,SBERT MiniLM
0.10951893,-0.34687382,2009,2007-2011,SBERT MiniLM
-0.10634919,-0.44835496,2009,2007-2011,SBERT MiniLM
-0.32487097,-0.088088505,2009,2007-2011,SBERT MiniLM
-0.38453877,-0.21860978,2009,2007-2011,SBERT MiniLM
-0.28121385,-0.27533516,2009,2007-2011,SBERT MiniLM
-0.21024285,-0.259363,2009,2007-2011,SBERT MiniLM
-0.036493003,-0.32855272,2009,2007-2011,SBERT MiniLM
0.11164789,-0.33207226,2009,2007-2011,SBERT MiniLM
0.27573204,-0.4215773,2009,2007-2011,SBERT MiniLM
0.33218217,-0.3057719,2009,2007-2011,SBERT MiniLM
0.22213243,-0.4817585,2009,2007-2011,SBERT MiniLM
0.10545947,-0.13229953,2009,2007-2011,SBERT MiniLM
0.10313527,-0.115914,2009,2007-2011,SBERT MiniLM
-0.3945011,-0.030223578,2009,2007-2011,SBERT MiniLM
-0.32943073,-0.11743729,2009,2007-2011,SBERT MiniLM
0.14759855,-0.4011351,2009,2007-2011,SBERT MiniLM
0.23303376,-0.36030284,2009,2007-2011,SBERT MiniLM
-0.12794873,-0.36705932,2009,2007-2011,SBERT MiniLM
-0.12568595,0.15218633,2009,2007-2011,SBERT MiniLM
0.043788373,-0.14004381,2009,2007-2011,SBERT MiniLM
-0.38633612,-0.2336401,2009,2007-2011,SBERT MiniLM
-0.28232208,-0.02264417,2009,2007-2011,SBERT MiniLM
-0.27083325,-0.12308452,2009,2007-2011,SBERT MiniLM
0.050095856,-0.038948707,2009,2007-2011,SBERT MiniLM
-0.24895863,-0.3755003,2009,2007-2011,SBERT MiniLM
-0.1403423,-0.47373095,2009,2007-2011,SBERT MiniLM
-0.25496233,0.2471334,2009,2007-2011,SBERT MiniLM
-0.2764282,-0.09402566,2009,2007-2011,SBERT MiniLM
-0.40848768,-0.14211646,2009,2007-2011,SBERT MiniLM
-0.4347085,-0.1055101,2009,2007-2011,SBERT MiniLM
-0.3792007,-0.038473472,2009,2007-2011,SBERT MiniLM
-0.38706207,-0.012847051,2009,2007-2011,SBERT MiniLM
-0.2869021,-0.17451493,2009,2007-2011,SBERT MiniLM
-0.38086993,-0.08778711,2009,2007-2011,SBERT MiniLM
-0.42565966,-0.14112295,2009,2007-2011,SBERT MiniLM
-0.26938355,0.12343763,2009,2007-2011,SBERT MiniLM
-0.4056309,-0.26379263,2009,2007-2011,SBERT MiniLM
-0.38030553,-0.11784857,2009,2007-2011,SBERT MiniLM
-0.37247837,-0.20781785,2009,2007-2011,SBERT MiniLM
-0.20714375,-0.36980653,2009,2007-2011,SBERT MiniLM
0.16857658,-0.27778414,2009,2007-2011,SBERT MiniLM
-0.46344268,-0.08237915,2009,2007-2011,SBERT MiniLM
-0.053794548,-0.10874451,2009,2007-2011,SBERT MiniLM
-0.25468463,-0.37133098,2009,2007-2011,SBERT MiniLM
-0.3067081,0.054475233,2009,2007-2011,SBERT MiniLM
-0.22517033,0.07324311,2009,2007-2011,SBERT MiniLM
-0.18383601,0.0688363,2009,2007-2011,SBERT MiniLM
0.09146766,-0.3820306,2009,2007-2011,SBERT MiniLM
-0.021916509,-0.0633626,2009,2007-2011,SBERT MiniLM
0.19074236,-0.36845186,2009,2007-2011,SBERT MiniLM
0.23379324,-0.34530157,2009,2007-2011,SBERT MiniLM
0.22569881,-0.47385544,2009,2007-2011,SBERT MiniLM
0.13893907,-0.32155508,2009,2007-2011,SBERT MiniLM
-0.2411137,-0.18200755,2009,2007-2011,SBERT MiniLM
-0.2261734,-0.1768516,2009,2007-2011,SBERT MiniLM
-0.4052304,0.16248012,2009,2007-2011,SBERT MiniLM
-0.36944348,-0.13716695,2009,2007-2011,SBERT MiniLM
-0.2101307,-0.056779545,2009,2007-2011,SBERT MiniLM
0.0061298907,-0.34318408,2009,2007-2011,SBERT MiniLM
-0.38785142,-0.33941156,2009,2007-2011,SBERT MiniLM
-0.34032977,-0.22787547,2009,2007-2011,SBERT MiniLM
-0.30019826,-0.07719337,2009,2007-2011,SBERT MiniLM
-0.2506949,-0.2290278,2009,2007-2011,SBERT MiniLM
-0.43697637,0.010786243,2009,2007-2011,SBERT MiniLM
0.092080995,-0.42859408,2009,2007-2011,SBERT MiniLM
-0.22560099,-0.3545702,2009,2007-2011,SBERT MiniLM
-0.27618998,-0.0543132,2009,2007-2011,SBERT MiniLM
0.019373596,-0.34426802,2009,2007-2011,SBERT MiniLM
-0.42266038,0.010860927,2009,2007-2011,SBERT MiniLM
-0.20457122,0.15182737,2009,2007-2011,SBERT MiniLM
-0.30239433,-0.23079772,2009,2007-2011,SBERT MiniLM
-0.4338639,0.26772413,2009,2007-2011,SBERT MiniLM
-0.2873891,-0.24203137,2009,2007-2011,SBERT MiniLM
-0.3470457,-0.07592484,2009,2007-2011,SBERT MiniLM
-0.18145989,-0.37894106,2009,2007-2011,SBERT MiniLM
-0.23521937,-0.36570898,2009,2007-2011,SBERT MiniLM
-0.3199587,-0.2588665,2009,2007-2011,SBERT MiniLM
-0.36992717,-0.18900636,2010,2007-2011,SBERT MiniLM
-0.30042478,-0.01741048,2010,2007-2011,SBERT MiniLM
-0.2271377,0.15891674,2010,2007-2011,SBERT MiniLM
-0.24350843,0.027809441,2010,2007-2011,SBERT MiniLM
-0.1602844,0.05508226,2010,2007-2011,SBERT MiniLM
-0.27827904,0.10736239,2010,2007-2011,SBERT MiniLM
-0.18011306,-0.47723812,2010,2007-2011,SBERT MiniLM
0.052438915,-0.09845965,2010,2007-2011,SBERT MiniLM
-0.34063166,-0.28341758,2010,2007-2011,SBERT MiniLM
-0.3715831,-0.070576385,2010,2007-2011,SBERT MiniLM
-0.3540371,0.10829356,2010,2007-2011,SBERT MiniLM
-0.26676238,-0.26755884,2010,2007-2011,SBERT MiniLM
0.18419777,-0.23277414,2010,2007-2011,SBERT MiniLM
0.23307212,-0.20765159,2010,2007-2011,SBERT MiniLM
-0.31166077,-0.10422932,2010,2007-2011,SBERT MiniLM
